 openTime,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberofTrades,TakerbuyBaseAssetVolume,TakerbuyQuoteAssetVolume,Ignore
1610852400000,1245.35000000,1248.56000000,1237.14000000,1242.05000000,20696.72214000,1610854199999,25743473.01916660,17009,11337.43899000,14105418.81017430,0
1610854200000,1242.00000000,1243.32000000,1231.37000000,1241.20000000,20449.62849000,1610855999999,25296886.84146940,16622,10396.72689000,12865116.04106360,0
1610856000000,1241.33000000,1250.72000000,1237.93000000,1244.43000000,18239.26005000,1610857799999,22725120.60958870,14650,10972.81396000,13675690.35481630,0
1610857800000,1244.43000000,1249.08000000,1220.80000000,1223.32000000,28521.20776000,1610859599999,35156004.32063380,20577,12223.29538000,15066347.71375620,0
1610859600000,1223.41000000,1229.24000000,1212.00000000,1221.42000000,25542.61453000,1610861399999,31173565.40357410,22098,12048.38573000,14706764.19773580,0
1610861400000,1221.41000000,1225.39000000,1213.00000000,1215.42000000,18296.35874000,1610863199999,22314679.51599030,16080,8874.28282000,10826062.31767150,0
1610863200000,1215.50000000,1224.59000000,1201.00000000,1203.34000000,36997.59859000,1610864999999,44802822.06920730,25723,15946.20434000,19310546.72281110,0
1610865000000,1203.33000000,1215.23000000,1201.11000000,1213.00000000,20332.43911000,1610866799999,24580468.01207310,16094,10768.42848000,13019174.70799530,0
1610866800000,1213.24000000,1228.60000000,1204.00000000,1209.31000000,29830.20781000,1610868599999,36227579.03194820,23581,16141.40263000,19608025.74231220,0
1610868600000,1209.26000000,1209.26000000,1170.00000000,1182.60000000,82333.17992000,1610870399999,97664181.10175960,58140,37142.97872000,44035827.80188220,0
1610870400000,1182.45000000,1194.73000000,1165.00000000,1194.31000000,61866.24479000,1610872199999,73031189.82237400,45801,31101.41702000,36727809.06333460,0
1610872200000,1194.31000000,1197.06000000,1180.59000000,1196.54000000,32906.88626000,1610873999999,39129643.22353280,29498,15759.04380000,18744891.11399060,0
1610874000000,1196.39000000,1212.58000000,1193.11000000,1203.16000000,39598.93031000,1610875799999,47749855.68589820,25149,20364.71216000,24552932.00915910,0
1610875800000,1203.27000000,1203.57000000,1175.01000000,1180.53000000,46844.86544000,1610877599999,55608961.27566300,31683,20401.43447000,24208939.66686320,0
1610877600000,1180.52000000,1198.00000000,1167.04000000,1193.80000000,38413.67522000,1610879399999,45540200.01071880,28060,20107.90528000,23853358.11983520,0
1610879400000,1193.80000000,1210.24000000,1193.74000000,1202.35000000,30753.22217000,1610881199999,37007151.98240510,21229,16956.14535000,20403835.19521190,0
1610881200000,1202.35000000,1217.33000000,1201.82000000,1209.89000000,22611.62540000,1610882999999,27350442.03856090,18847,13111.27310000,15861854.14495850,0
1610883000000,1209.92000000,1228.37000000,1203.33000000,1219.52000000,30407.58268000,1610884799999,37060067.88082440,24653,16749.08443000,20418531.86591410,0
1610884800000,1219.52000000,1225.84000000,1210.14000000,1218.27000000,27482.69280000,1610886599999,33503087.71396100,20851,13600.67069000,16581784.26735450,0
1610886600000,1218.26000000,1222.00000000,1208.13000000,1212.87000000,24254.14720000,1610888399999,29431401.63356340,20043,11567.17901000,14038540.96636100,0
1610888400000,1213.06000000,1224.51000000,1210.00000000,1220.01000000,19112.22763000,1610890199999,23310157.14702420,18118,9587.55545000,11693395.61331840,0
1610890200000,1220.01000000,1227.74000000,1196.12000000,1198.86000000,28707.55463000,1610891999999,34725789.57555780,27467,13996.58203000,16940122.51774700,0
1610892000000,1198.78000000,1207.41000000,1191.03000000,1201.89000000,25127.32355000,1610893799999,30157209.88959390,20565,12252.44938000,14706562.83810690,0
1610893800000,1201.94000000,1213.51000000,1198.57000000,1198.58000000,17444.34461000,1610895599999,21061659.10240490,14864,8489.28354000,10252688.27454110,0
1610895600000,1198.58000000,1241.00000000,1198.56000000,1240.80000000,51305.78027000,1610897399999,63042650.10732130,35689,28507.33142000,35018904.49051210,0
1610897400000,1240.91000000,1246.92000000,1231.10000000,1241.17000000,34355.94706000,1610899199999,42607320.01521100,25731,18279.86945000,22673665.40729880,0
1610899200000,1241.35000000,1247.00000000,1220.00000000,1240.80000000,32785.47168000,1610900999999,40587087.55449880,26659,15341.54638000,19002301.55210850,0
1610901000000,1240.71000000,1251.00000000,1235.48000000,1239.35000000,31422.76582000,1610902799999,39102486.94354150,22137,17700.92064000,22036339.17021280,0
1610902800000,1239.17000000,1244.48000000,1229.33000000,1230.00000000,19190.41239000,1610904599999,23741254.25227450,16082,10024.97846000,12405989.14299720,0
1610904600000,1230.00000000,1232.62000000,1223.30000000,1232.21000000,18670.20625000,1610906399999,22918810.73115720,16926,9393.75690000,11532842.85939260,0
1610906400000,1232.33000000,1235.38000000,1225.71000000,1231.51000000,11404.61659000,1610908199999,14039961.48988050,11174,5191.35427000,6391129.16331560,0
1610908200000,1231.51000000,1234.11000000,1225.61000000,1226.55000000,10386.38724000,1610909999999,12772364.75009670,11704,4869.53314000,5988373.08826550,0
1610910000000,1226.55000000,1241.05000000,1226.55000000,1234.81000000,16507.72592000,1610911799999,20401175.53870900,16769,8594.91246000,10623702.25469230,0
1610911800000,1234.95000000,1236.50000000,1210.54000000,1218.30000000,19634.39116000,1610913599999,24036415.87675150,21686,9011.05260000,11034502.67215070,0
1610913600000,1218.35000000,1229.24000000,1218.33000000,1224.85000000,13283.65031000,1610915399999,16260088.98857760,16751,8067.04709000,9876334.89552100,0
1610915400000,1224.85000000,1239.00000000,1224.57000000,1237.58000000,14084.81759000,1610917199999,17363137.09124660,16835,7297.69043000,8997138.72433060,0
1610917200000,1237.91000000,1263.00000000,1235.78000000,1261.29000000,37324.31921000,1610918999999,46746947.44170130,40361,23378.98117000,29278175.81762860,0
1610919000000,1261.31000000,1266.59000000,1256.44000000,1261.30000000,26028.73720000,1610920799999,32866429.03402030,28288,13640.11622000,17224142.61312530,0
1610920800000,1261.61000000,1269.02000000,1250.76000000,1257.17000000,17785.61294000,1610922599999,22419092.61739930,22134,8903.83841000,11225876.95105690,0
1610922600000,1257.11000000,1266.00000000,1236.00000000,1245.99000000,18861.51131000,1610924399999,23588157.61347560,24115,8544.01379000,10688805.06931710,0
1610924400000,1245.95000000,1254.71000000,1242.47000000,1252.61000000,17065.62114000,1610926199999,21314134.05886030,24699,8785.69343000,10975795.17074780,0
1610926200000,1252.61000000,1253.49000000,1224.00000000,1232.45000000,27673.77034000,1610927999999,34242403.15557070,30378,13559.08836000,16772255.35276710,0
1610928000000,1232.50000000,1241.84000000,1226.15000000,1238.66000000,24681.52027000,1610929799999,30515192.90235780,21383,13017.33826000,16098594.91529070,0
1610929800000,1238.80000000,1247.18000000,1233.93000000,1242.66000000,20885.87110000,1610931599999,25907144.94173760,15835,10506.50498000,13033109.25038620,0
1610931600000,1242.72000000,1247.73000000,1225.68000000,1230.36000000,18505.58303000,1610933399999,22854285.42982270,17634,8313.59366000,10270125.23297710,0
1610933400000,1230.63000000,1242.50000000,1230.60000000,1239.52000000,12974.33944000,1610935199999,16058615.66896610,13442,6941.79164000,8592683.21067210,0
1610935200000,1239.39000000,1243.66000000,1233.72000000,1239.38000000,10803.67804000,1610936999999,13381012.61724780,11162,5831.44950000,7224737.26110370,0
1610937000000,1239.38000000,1240.88000000,1220.00000000,1221.33000000,23516.05043000,1610938799999,28864102.79393360,19876,11681.48793000,14344973.95672140,0
1610938800000,1221.32000000,1225.78000000,1197.00000000,1200.05000000,44203.54213000,1610940599999,53509952.17897400,42351,17218.30984000,20855235.95674530,0
1610940600000,1200.01000000,1203.82000000,1182.58000000,1194.07000000,52505.45964000,1610942399999,62669634.67197860,49696,23668.13350000,28261980.93254690,0
1610942400000,1194.07000000,1206.06000000,1190.50000000,1202.00000000,21687.74704000,1610944199999,25999230.86759340,26927,11919.70069000,14290039.37222840,0
1610944200000,1201.97000000,1204.44000000,1190.91000000,1201.94000000,19166.03602000,1610945999999,22967375.33598470,28631,9515.47508000,11407383.94794070,0
1610946000000,1201.85000000,1205.00000000,1189.37000000,1191.42000000,18772.80897000,1610947799999,22481038.43490820,22008,8000.26490000,9586492.92710900,0
1610947800000,1191.41000000,1210.56000000,1188.00000000,1207.84000000,19402.06294000,1610949599999,23350312.11270630,21425,10862.31921000,13073501.11775460,0
1610949600000,1207.86000000,1210.00000000,1200.27000000,1203.40000000,12180.17070000,1610951399999,14677915.77632410,14078,6380.02708000,7688088.09008180,0
1610951400000,1203.41000000,1206.93000000,1195.56000000,1198.07000000,15819.23665000,1610953199999,18971935.43669730,16245,7368.88469000,8837560.70688540,0
1610953200000,1198.10000000,1220.92000000,1196.01000000,1216.49000000,25123.04162000,1610954999999,30442305.79698330,21436,13873.50759000,16813478.68015280,0
1610955000000,1216.50000000,1227.01000000,1216.49000000,1219.62000000,22858.89807000,1610956799999,27925570.02487210,18308,11551.09527000,14110784.77666410,0
1610956800000,1219.68000000,1228.26000000,1217.10000000,1221.06000000,21065.64202000,1610958599999,25744154.90609680,18352,9843.86798000,12031198.41626340,0
1610958600000,1221.06000000,1227.00000000,1214.99000000,1223.15000000,17400.37505000,1610960399999,21237173.81972210,14900,8415.16394000,10271068.37547870,0
1610960400000,1223.13000000,1234.23000000,1220.68000000,1225.82000000,24279.92275000,1610962199999,29814375.88205260,20702,13055.62678000,16035454.15675450,0
1610962200000,1225.82000000,1230.57000000,1223.02000000,1230.56000000,13437.33238000,1610963999999,16469238.41459890,12566,6821.62800000,8361700.22484190,0
1610964000000,1230.49000000,1230.68000000,1217.56000000,1222.99000000,17760.95534000,1610965799999,21721289.38945100,18255,7807.91156000,9550668.86371640,0
1610965800000,1222.99000000,1228.00000000,1218.88000000,1223.73000000,16898.92150000,1610967599999,20685976.36205710,15503,9374.72749000,11474641.35272210,0
1610967600000,1223.73000000,1224.85000000,1209.00000000,1220.01000000,22708.43233000,1610969399999,27594968.64621140,25679,11097.95855000,13486819.04848670,0
1610969400000,1220.01000000,1228.90000000,1211.60000000,1225.43000000,18345.43900000,1610971199999,22408286.86852930,23303,9283.27664000,11344883.10820760,0
1610971200000,1225.43000000,1254.50000000,1223.07000000,1241.18000000,61075.25133000,1610972999999,76038107.21397950,47141,32816.10942000,40850837.87477540,0
1610973000000,1241.19000000,1247.95000000,1238.43000000,1243.75000000,30081.28727000,1610974799999,37430116.51204900,26247,16449.87639000,20469967.13980930,0
1610974800000,1243.63000000,1249.60000000,1238.26000000,1242.25000000,23992.33405000,1610976599999,29832692.63218440,21420,12661.03421000,15742154.47637870,0
1610976600000,1242.25000000,1251.00000000,1240.21000000,1243.99000000,23522.25902000,1610978399999,29297561.81950110,20447,12864.23127000,16023729.45666750,0
1610978400000,1244.00000000,1255.50000000,1243.37000000,1248.50000000,21371.29876000,1610980199999,26713627.95219570,21708,12400.29047000,15500786.83285480,0
1610980200000,1248.50000000,1249.73000000,1221.00000000,1237.03000000,41027.73040000,1610981999999,50530546.52403550,34987,20226.11729000,24902010.39342210,0
1610982000000,1237.03000000,1243.50000000,1232.48000000,1235.84000000,15362.23747000,1610983799999,19033820.19759050,14490,7985.24870000,9893540.15470960,0
1610983800000,1235.87000000,1242.75000000,1230.20000000,1240.36000000,13457.34325000,1610985599999,16658671.13339520,13247,6674.75193000,8263799.98493750,0
1610985600000,1240.21000000,1248.48000000,1224.00000000,1234.32000000,25403.85914000,1610987399999,31366643.52759620,21781,12124.65426000,14980054.91192820,0
1610987400000,1234.35000000,1237.00000000,1227.48000000,1230.01000000,11088.83577000,1610989199999,13669877.61410070,11597,5369.98734000,6620618.93451010,0
1610989200000,1230.04000000,1235.00000000,1213.47000000,1216.00000000,27734.07393000,1610990999999,33914876.87056890,22375,11445.72603000,13994924.97616040,0
1610991000000,1216.01000000,1223.78000000,1211.66000000,1218.58000000,19801.26180000,1610992799999,24128448.28331040,16553,8830.16759000,10762187.83775880,0
1610992800000,1218.58000000,1225.43000000,1214.44000000,1221.49000000,18490.90473000,1610994599999,22556904.00497730,14652,8918.21226000,10880875.77375390,0
1610994600000,1221.49000000,1223.00000000,1213.87000000,1218.29000000,16650.70982000,1610996399999,20289818.14105780,13388,8486.83705000,10341082.02435390,0
1610996400000,1218.35000000,1233.33000000,1216.22000000,1227.97000000,21392.43082000,1610998199999,26270966.20277860,19362,12505.15687000,15356039.32673790,0
1610998200000,1227.97000000,1230.48000000,1223.06000000,1227.67000000,9576.21372000,1610999999999,11750607.86565720,9955,4958.26339000,6084752.38489350,0
1611000000000,1227.68000000,1230.75000000,1222.52000000,1228.23000000,8191.59514000,1611001799999,10048035.87184890,9226,3965.24412000,4864114.32479440,0
1611001800000,1228.48000000,1233.78000000,1225.73000000,1226.08000000,11538.77800000,1611003599999,14191038.74051300,10726,5325.38163000,6549924.56866480,0
1611003600000,1226.23000000,1236.52000000,1225.95000000,1233.70000000,11334.27548000,1611005399999,13966685.85688790,11844,5777.53332000,7120028.61767700,0
