" openTime","Open","High","Low","Close","Volume","CloseTime","QuoteAssetVolume","NumberofTrades","TakerbuyBaseAssetVolume","TakerbuyQuoteAssetVolume","Ignore"
"1611524400000","1348.46000000","1349.00000000","1346.02000000","1347.17000000","1708.60090000","1611524699999","2302697.42063720","3232","869.99080000","1172475.80606910","0"
"1611524700000","1347.24000000","1349.13000000","1343.53000000","1347.40000000","2419.08609000","1611524999999","3256798.09244250","4131","1172.73127000","1578887.02412490","0"
"1611525000000","1347.40000000","1354.36000000","1346.43000000","1353.91000000","3330.71430000","1611525299999","4500368.05604720","5303","1980.95483000","2676506.45453670","0"
"1611525300000","1353.78000000","1355.01000000","1351.00000000","1352.15000000","2894.43797000","1611525599999","3917863.73820960","3873","1208.71766000","1635992.04770650","0"
"1611525600000","1352.29000000","1352.37000000","1345.55000000","1346.20000000","2861.09489000","1611525899999","3860453.36883120","2453","720.90067000","971419.07414960","0"
"1611525900000","1346.19000000","1349.02000000","1345.01000000","1347.89000000","2033.39143000","1611526199999","2738917.21677410","1847","1081.38373000","1456627.25258300","0"
"1611526200000","1347.89000000","1350.50000000","1347.89000000","1349.88000000","1422.51267000","1611526499999","1919429.02014880","2324","782.27019000","1055557.99066860","0"
"1611526500000","1349.89000000","1352.66000000","1349.21000000","1349.62000000","1316.24576000","1611526799999","1778603.51594010","2179","661.89977000","894451.51179550","0"
"1611526800000","1349.36000000","1349.36000000","1343.55000000","1346.99000000","1382.88468000","1611527099999","1860605.94238100","2399","641.52302000","863102.31333260","0"
"1611527100000","1346.99000000","1351.46000000","1346.99000000","1349.63000000","1423.44434000","1611527399999","1921106.71012570","1983","922.07286000","1244421.02898480","0"
"1611527400000","1349.60000000","1360.00000000","1347.74000000","1359.92000000","5228.82005000","1611527699999","7087357.97529380","5572","3432.06293000","4654764.92110330","0"
"1611527700000","1359.98000000","1368.76000000","1357.51000000","1368.45000000","8089.63347000","1611527999999","11027203.77879100","9314","4732.70187000","6452635.52328940","0"
"1611528000000","1368.46000000","1368.96000000","1363.36000000","1367.98000000","5200.14055000","1611528299999","7105555.23332260","5324","2365.43749000","3232968.55194540","0"
"1611528300000","1367.98000000","1376.88000000","1364.05000000","1370.71000000","10351.26840000","1611528599999","14200052.13945510","9426","5652.60680000","7752531.62321670","0"
"1611528600000","1370.70000000","1375.00000000","1366.73000000","1367.99000000","4368.20893000","1611528899999","5991915.34488170","5050","1937.20857000","2658581.20022960","0"
"1611528900000","1368.27000000","1371.22000000","1363.91000000","1367.99000000","4211.03812000","1611529199999","5761394.60595870","3888","2052.08089000","2807542.68769080","0"
"1611529200000","1367.99000000","1375.00000000","1367.93000000","1373.27000000","3924.70222000","1611529499999","5381982.09949810","3617","2118.87157000","2906045.45911260","0"
"1611529500000","1373.30000000","1377.00000000","1370.68000000","1374.77000000","8371.81366000","1611529799999","11500909.66631170","4838","5036.58964000","6918560.88225610","0"
"1611529800000","1374.77000000","1380.00000000","1373.70000000","1374.71000000","8396.92989000","1611530099999","11567103.88157250","7208","4745.62006000","6538546.37046920","0"
"1611530100000","1374.72000000","1386.00000000","1374.71000000","1385.00000000","8978.65239000","1611530399999","12401947.78760970","7658","6290.63173000","8689935.69029570","0"
"1611530400000","1385.00000000","1387.22000000","1378.22000000","1379.87000000","7092.88914000","1611530699999","9815096.56641290","7000","3478.93091000","4814901.62248720","0"
"1611530700000","1379.87000000","1384.44000000","1378.01000000","1381.13000000","4765.74780000","1611530999999","6583235.39324400","4392","2285.77290000","3157747.37150980","0"
"1611531000000","1381.13000000","1384.93000000","1377.91000000","1382.33000000","5667.55153000","1611531299999","7825359.38890110","4333","3495.28490000","4826611.42700620","0"
"1611531300000","1382.33000000","1382.73000000","1375.72000000","1376.53000000","4827.87716000","1611531599999","6661911.18680420","4095","2698.85401000","3724758.24580120","0"
"1611531600000","1376.53000000","1385.07000000","1375.21000000","1383.57000000","5142.80181000","1611531899999","7103818.89605760","4347","2962.42234000","4092124.79210240","0"
"1611531900000","1383.57000000","1390.00000000","1381.55000000","1389.52000000","6546.28218000","1611532199999","9067239.92428510","5176","4161.82531000","5765744.55963730","0"
"1611532200000","1389.53000000","1398.83000000","1387.74000000","1398.00000000","15012.69785000","1611532499999","20924036.29008870","12628","9926.96951000","13834426.76911930","0"
"1611532500000","1398.00000000","1398.70000000","1389.00000000","1392.51000000","7390.32335000","1611532799999","10302005.93385930","6913","3388.82691000","4723509.94044150","0"
"1611532800000","1392.19000000","1394.20000000","1383.12000000","1390.18000000","7448.38526000","1611533099999","10348171.34839650","7454","3779.18918000","5251315.95456020","0"
"1611533100000","1390.17000000","1407.79000000","1388.99000000","1406.82000000","16899.73350000","1611533399999","23660023.14518560","14630","11822.26170000","16554350.70644240","0"
"1611533400000","1406.82000000","1416.58000000","1401.16000000","1413.01000000","20900.78136000","1611533699999","29469987.77415680","13941","11530.82040000","16265921.92427520","0"
"1611533700000","1413.01000000","1420.00000000","1409.80000000","1419.90000000","16720.68294000","1611533999999","23686040.65562540","12470","9963.75872000","14119037.06041840","0"
"1611534000000","1419.91000000","1444.59000000","1418.89000000","1443.73000000","35554.63260000","1611534299999","50897810.67527080","22479","20533.15830000","29374178.38005300","0"
"1611534300000","1443.87000000","1454.00000000","1428.37000000","1449.17000000","43178.02450000","1611534599999","62278059.99108340","28923","22125.40396000","31925356.28789690","0"
"1611534600000","1448.93000000","1452.01000000","1431.77000000","1438.73000000","27458.45439000","1611534899999","39612002.70029440","17576","14051.94364000","20270531.51291470","0"
"1611534900000","1438.66000000","1445.00000000","1435.58000000","1439.57000000","11906.94822000","1611535199999","17154343.60686980","9236","5999.69115000","8645028.38961140","0"
"1611535200000","1439.70000000","1447.46000000","1438.00000000","1447.31000000","9480.13187000","1611535499999","13665533.24005610","7368","5577.92388000","8041367.64580260","0"
"1611535500000","1447.36000000","1468.33000000","1445.63000000","1465.80000000","31386.32531000","1611535799999","45775167.84916860","21813","17934.21672000","26151230.44107350","0"
"1611535800000","1465.81000000","1475.00000000","1455.00000000","1458.83000000","25481.52482000","1611536099999","37407509.60543000","18311","12364.85384000","18156554.39741070","0"
"1611536100000","1458.84000000","1466.66000000","1452.12000000","1456.96000000","11471.63131000","1611536399999","16723753.24188340","9607","5837.09985000","8511423.18714940","0"
"1611536400000","1456.97000000","1461.24000000","1433.00000000","1445.64000000","23543.57230000","1611536699999","33967366.40343220","20009","10537.99734000","15204541.52664730","0"
"1611536700000","1445.64000000","1449.34000000","1430.68000000","1437.81000000","11491.39677000","1611536999999","16546133.45726050","12482","5340.43962000","7691615.36886440","0"
"1611537000000","1437.83000000","1444.94000000","1437.63000000","1441.00000000","6044.91669000","1611537299999","8713414.63431760","8447","3022.97699000","4358136.27639240","0"
"1611537300000","1441.00000000","1446.00000000","1435.00000000","1437.90000000","7548.34756000","1611537599999","10871736.19831840","9473","3404.49858000","4904172.33572340","0"
"1611537600000","1437.89000000","1438.00000000","1418.48000000","1429.74000000","16242.37559000","1611537899999","23204142.18965200","15438","6804.24622000","9720162.88207320","0"
"1611537900000","1429.75000000","1435.71000000","1426.01000000","1427.18000000","7507.25369000","1611538199999","10740056.37680120","9673","3551.39908000","5081613.27048030","0"
"1611538200000","1427.04000000","1437.43000000","1426.82000000","1430.21000000","7547.03046000","1611538499999","10816332.55011840","8865","3836.38157000","5499115.27014500","0"
